Country,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered
Afghanistan,36263,1269,25198,9796,106,10,18,3.5,69.49,5.04
Albania,4880,144,2745,1991,117,6,63,2.95,56.25,5.25
Algeria,27973,1163,18837,7973,616,8,749,4.16,67.34,6.17
Andorra,907,52,803,52,10,0,0,5.73,88.53,6.48
Angola,950,41,242,667,18,1,0,4.32,25.47,16.94
Antigua and Barbuda,86,3,65,18,4,0,5,3.49,75.58,4.62
Argentina,167416,3059,72575,91782,4890,120,2057,1.83,43.35,4.21
Armenia,37390,711,26665,10014,73,6,187,1.9,71.32,2.67
Australia,15303,167,9311,5825,368,6,137,1.09,60.84,1.79
Austria,20558,713,18246,1599,86,1,37,3.47,88.75,3.91
Azerbaijan,30446,423,23242,6781,396,6,558,1.39,76.34,1.82
Bahamas,382,11,91,280,40,0,0,2.88,23.82,12.09
Bahrain,39482,141,36110,3231,351,1,421,0.36,91.46,0.39
Bangladesh,226225,2965,125683,97577,2772,37,1801,1.31,55.56,2.36
Barbados,110,7,94,9,0,0,0,6.36,85.45,7.45
Belarus,67251,538,60492,6221,119,4,67,0.8,89.95,0.89
Belgium,66428,9822,17452,39154,402,1,14,14.79,26.27,56.28
